date,open,high,low,close,volume
2008-03-13,20.1553,20.2579,19.7110,20.1485,590200
2008-03-14,19.6630,19.6630,18.9657,19.0887,1243500
2008-03-17,18.8426,19.1298,18.4666,18.8905,779800
2008-03-18,18.9999,18.9999,18.5623,18.9246,870800
2008-03-19,19.2391,19.2665,18.6785,18.6854,498700
2008-03-20,18.8768,19.0340,18.5623,19.0067,769600
2008-03-24,20.2373,20.4903,20.1485,20.3057,810300
2008-03-25,20.8116,21.1056,20.6544,20.9552,856400
2008-03-26,20.8595,20.9552,20.6309,20.7023,617800
2008-03-27,20.7159,20.7296,20.4014,20.4630,427000
2008-03-28,20.8458,20.8458,20.2373,20.2920,406600
2008-03-31,19.8271,19.8476,19.6220,19.6972,741000
2008-04-01,20.2305,20.4630,20.1349,20.4288,573700
2008-04-02,20.5245,20.9347,20.5245,20.7775,561300
2008-04-03,20.4766,20.4766,20.1690,20.3467,397800
2008-04-04,19.6835,19.8203,19.5058,19.7041,627600
2008-04-07,20.2168,20.2168,19.8271,19.9570,925300
2008-04-08,19.6904,19.7109,19.5536,19.6699,609400
2008-04-09,19.4648,19.5058,19.1229,19.1434,690100
2008-04-10,19.1879,19.3896,19.1879,19.2460,334500
2008-04-11,19.2528,19.3691,19.1298,19.1913,381700
2008-04-14,19.1366,19.1366,18.9725,18.9930,688700
2008-04-15,19.2118,19.2118,18.9315,19.0477,430900
2008-04-16,19.3554,19.9023,19.3554,19.9023,581800
2008-04-17,20.0596,20.2715,20.0322,20.2305,503300
2008-04-18,20.5450,20.8869,20.5450,20.7911,957000
2008-04-21,21.7483,22.0833,21.7415,22.0833,963300
2008-04-22,21.4748,21.6594,21.1672,21.2629,593400
2008-04-23,21.0646,21.2424,20.9074,21.2082,432000
2008-04-24,21.2629,21.5022,21.0851,21.3313,511800
2008-04-25,21.5364,21.8235,21.2355,21.8235,1705900
2008-04-28,22.0560,22.4799,22.0560,22.4115,767200
2008-04-29,22.2132,22.4525,22.1517,22.2816,680900
2008-04-30,21.7415,22.0355,21.5432,21.7073,699800
2008-05-01,21.8509,22.1107,21.7483,22.1107,490100
2008-05-02,22.5346,22.7328,22.4320,22.6303,704200
2008-05-05,22.6918,22.6986,22.4252,22.5619,449300
2008-05-06,22.2816,22.6986,22.2816,22.6645,586000
2008-05-07,22.5551,22.5551,22.0628,22.1380,473600
2008-05-08,21.7893,21.9432,21.5911,21.7073,529800
2008-05-09,21.3449,21.4338,21.0920,21.2697,528600
2008-05-12,20.9757,21.0988,20.8869,21.0304,571600
2008-05-13,21.5295,21.5295,20.9962,21.1193,387200
2008-05-14,21.4201,21.8372,21.4201,21.7278,399200
2008-05-15,22.0149,22.5551,22.0149,22.5414,469000
2008-05-16,22.6166,22.7875,22.4183,22.6918,638700
2008-05-19,22.5277,22.6303,22.3718,22.4388,342600
2008-05-20,22.3910,22.3910,22.1243,22.2132,489600
2008-05-21,22.1517,22.1790,21.8235,21.8645,406900
2008-05-22,21.9397,22.2201,21.9397,22.1312,498200
2008-05-23,22.1654,22.1654,21.7688,21.8782,349700
2008-05-27,22.0355,22.0355,21.5432,21.8167,389800
2008-05-28,21.6047,21.7415,21.3996,21.7004,579300
2008-05-29,21.8645,21.9944,21.7962,21.9876,584400
2008-05-30,22.5892,22.9037,22.5619,22.7192,602300
2008-06-02,23.1089,23.4302,23.0131,23.1499,521100
2008-06-03,22.9926,23.0268,22.6645,22.8627,814700
2008-06-04,24.4284,24.6130,24.1344,24.3327,3106400
2008-06-05,24.5446,24.7907,24.4626,24.7907,1843700
2008-06-06,24.8181,24.8865,23.9908,24.1481,1083900
2008-06-09,23.9088,24.4626,23.9088,24.1139,698500
2008-06-10,23.6763,23.8472,23.5464,23.7515,665000
2008-06-11,24.0182,24.1686,23.5259,23.5669,794600
2008-06-12,23.5943,23.9498,23.5943,23.7652,630800
2008-06-13,24.2848,24.5104,24.1891,24.3737,873100
2008-06-16,24.3669,24.3669,23.9293,24.2506,618500
2008-06-17,24.3805,24.3805,23.8609,23.9566,656600
2008-06-18,24.0250,24.0318,23.6626,23.7652,643600
2008-06-19,23.7515,23.8472,23.2935,23.7994,1206200
2008-06-20,23.0268,23.4439,22.9345,23.0131,1363800
2008-06-23,23.0200,23.3071,23.0200,23.1977,855700
2008-06-24,23.6011,23.8746,23.4712,23.7789,693700
2008-06-25,24.2438,24.8113,24.2438,24.5993,1484600
2008-06-26,23.9293,23.9293,23.3960,23.3960,3052800
2008-06-27,23.3960,23.5464,23.1841,23.3755,1379900
2008-06-30,23.0337,23.4781,23.0337,23.2661,1324200
2008-07-01,23.0405,23.4302,22.9311,23.2593,2181400
2008-07-02,23.2524,23.4712,22.7328,22.7602,1481400
2008-07-03,22.8354,23.2729,22.8354,22.9516,796400
2008-07-07,23.2251,23.2456,22.7465,22.8901,1519700
2008-07-08,22.8901,23.1294,22.6371,22.8354,2826600
2008-07-09,22.8627,23.4986,22.8627,22.9721,2452700
2008-07-10,23.0883,23.3208,22.9516,23.2388,681400
2008-07-11,22.6439,23.1294,22.5619,22.8559,773500
2008-07-14,22.6439,22.8627,22.2816,22.3773,1207600
2008-07-15,21.9329,22.3089,21.8098,22.1380,1544900
2008-07-16,21.9944,22.4935,21.9329,22.4935,2542700
2008-07-17,22.3978,22.7192,22.2474,22.5756,2010000
2008-07-18,22.3294,22.4935,22.2201,22.3978,969000
